Word,Furigana,Meaning,Level
求,きゅう,청구,N1
招,しょう,,N1
請,せい,초청,N1
普,ふ,,N1
請,しん,건축/토목 공사,N1
紳,しん,,N1
士,し,신사,N1
飛,ひ,,N1
行,こう,,N1
士,し,비행사,N1
武士,ぶし,무사,N1
戦,せん,,N1
士,し,전사,N1
討伐,とうばつ,토벌,N1
討論,とうろん,토론,N1
検討,けんとう,검토,N1
討,とう,,N1
議,ぎ,토의,N1
攻撃,こうげき,공격,N1
専攻,せんこう,전공,N1
攻勢,こうせい,공세,N1
敵,てき,の,N1
弱,じゃく,,N1
点,てん,を,N1
攻,せ,める 적의 약점을 공격하다,N1
川崎,かわさき,,N1
市,し,가와사키 시,N1
監督,かんとく,감독,N1
督促,とくそく,독촉,N1
督励,とくれい,독려,N1
開催,かいさい,개최,N1
主催,しゅさい,주최,N1
催促,さいそく,재촉,N1
波,は,,N1
及,きゅう,파급,N1
普,ふ,,N1
及,きゅう,보급,N1
等,とう,,N1
及,きゅう,등급,N1
上級,じょうきゅう,상급,N1
進,しん,,N1
及,きゅう,진급,N1
憲法,けんぽう,헌법,N1
分,ぶん,,N1
離,り,분리,N1
距,きょ,,N1
離,り,거리,N1
離,り,,N1
別,べつ,이별,N1
隔,かく,,N1
離,り,격리,N1
感激,かんげき,감격,N1
激,げき,,N1
流,りゅう,격류,N1
激突,げきとつ,격돌,N1
激動,げきどう,격동,N1
激戦,げきせん,격전,N1
激,はげ,しい,N1
反対,はんたい,격렬한 반대,N1
摘発,てきはつ,적발,N1
指,し,,N1
摘,てき,지적,N1
摘,てき,,N1
出,しゅつ,적출,N1
系列,けいれつ,계열,N1
系統,けいとう,계통,N1
体系,たいけい,체계,N1
新郎,しんろう,신랑,N1
郎君,ろうくん,낭군,N1
盟約,めいやく,맹약,N1
同盟,どうめい,동맹,N1
従順,じゅうじゅん,종순(순종),N1
服,ふく,,N1
従,じゅう,복종,N1
主,しゅ,,N1
従,じゅう,주종,N1
従,しょう,,N1
容,よう,침착함,N1
従三,じゅさん,,N1
位,み,종삼품(위계의 일종),N1
部,ぶ,,N1
隊,たい,부대,N1
軍隊,ぐんたい,군대,N1
隊員,たいいん,대원,N1
紡,ぼう,,N1
織,しょく,방직,N1
織,しょく,,N1
女,じょ,직녀,N1
組,そ,,N1
織,しき,조직,N1
機,はた,を,N1
織,お,る 베를 짜다,N1
振動,しんどう,진동,N1
振幅,しんぷく,진폭,N1
振,しん,,N1
子,し,진자,N1
振興,しんこう,진흥,N1
弁,べん,,N1
護,ご,변호,N1
弁,べん,,N1
償,しょう,변상,N1
弁論,べんろん,변론,N1
雄弁,ゆうべん,웅변,N1
就職,しゅうしょく,취직,N1
就,しゅう,,N1
任,にん,취임,N1
就,しゅう,,N1
学,がく,취학,N1
去,きょ,,N1
就,しゅう,거취,N1
成,じょう,,N1
就,じゅ,성취,N1
貢献,こうけん,공헌,N1
文献,ぶんけん,문헌,N1
献身,けんしん,헌신,N1
献立,こんだて,식단/메뉴,N1
厳格,げんかく,엄격,N1
厳,げん,,N1
重,じゅう,엄중,N1
威,い,,N1
厳,げん,위엄,N1
荘厳,そうごん,장엄,N1
維持,いじ,유지,N1
繊,せん,,N1
維,い,섬유,N1
海浜,かいひん,해변,N1
浜,はま,,N1
辺,べ,해변,N1
横浜,よこはま,요코하마,N1
遺,い,,N1
産,さん,유산,N1
遺棄,いき,유기,N1
遺,い,,N1
失,しつ,유실,N1
遺,い,,N1
書,しょ,유서,N1
遺言,ゆいごん,유언,N1
一塁,いちるい,1루,N1
盗塁,とうるい,도루,N1
本塁,ほんるい,,N1
打,だ,본루타(홈런),N1
邦楽,ほうがく,방악(그 나라 고유의 음악),N1
連邦,れんぽう,연방,N1
本邦,ほんぽう,본방(자국),N1
元,げん,,N1
素,そ,원소,N1
素,そ,,N1
朴,ぼく,소박,N1
素,そ,,N1
材,ざい,소재,N1
素,す,,N1
足,あし,맨발,N1
素手,すで,맨손/맨주먹,N1
素,す,,N1
顔,がお,화장하지 않은 얼굴/민낯,N1
派,は,,N1
遣,けん,파견,N1
小,こ,,N1
遣,づか,い 용돈,N1
言,こと,,N1
葉,ば,,N1
遣,づか,い 말씨/말투,N1
勅,ちょく,,N1
使,し,を,N1
遣,つか,わす 칙사를 파견하다,N1
対抗,たいこう,대항,N1
抵抗,ていこう,저항,N1
抗争,こうそう,항쟁,N1
模,も,,N1
範,はん,모범,N1
模擬,もぎ,모의,N1
模,も,,N1
型,けい,모형,N1
模,も,,N1
倣,ほう,모방,N1
規模,きぼ,규모,N1
雄大,ゆうだい,웅대,N1
英雄,えいゆう,영웅,N1
雌,し,,N1
雄,ゆう,자웅,N1
雄,お,,N1
鹿,じか,수사슴,N1
雄,おす,수컷,N1
利,り,,N1
益,えき,이익,N1
有益,ゆうえき,유익,N1
国益,こくえき,국익,N1
利,り,,N1
益,やく,신불이 인간에게 내리는 은혜,N1
緊,きん,,N1
張,ちょう,긴장,N1
緊迫,きんぱく,긴박,N1
緊,きん,,N1
急,きゅう,긴급,N1
緊密,きんみつ,긴밀,N1
宣言,せんげん,선언,N1
宣伝,せんでん,선전,N1
宣誓,せんせい,선서,N1
宣告,せんこく,선고,N1
昭,しょう,,N1
和,わ,쇼와(서기 1926~1989까지의 일본 연호),N1
昭,しょう,,N1
和,わ,,N1
天皇,てんのう,쇼와 천황,N1
廃,はい,,N1
止,し,폐지,N1
荒廃,こうはい,황폐,N1
廃,はい,,N1
棄,き,폐기,N1
地,ち,,N1
方産,ほうさん,,N1
業,ぎょう,が,N1
廃,すた,れる 지방 산업이 쇠퇴하다,N1
名,な,が,N1
廃,すた,る 명성이 땅에 떨어지다,N1
長,ちょう,,N1
江,こう,장강,N1
江,こう,,N1
湖,こ,강호(세상),N1
江戸時,えどじ,,N1
代,だい,에도 시대(서기 1603~1867),N1
同,どう,,N1
僚,りょう,동료,N1
官,かん,,N1
僚,りょう,관료,N1
閣,かく,,N1
僚,りょう,각료,N1
吉日,きちじつ,길일,N1
