Link,Kanji,Meanings,On Yomi,Kun Yomi,Pronunciations,Level
https://nihongokanji.com/1153,幕,"[""장막""]",[],[],"[""장막 막""]",N1
https://nihongokanji.com/1154,染,"[""염색하다"", ""물들다""]","[""セン""]","[""そ(める)、そ(まる)、し(みる)、し(み)""]","[""물들 염""]",N1
https://nihongokanji.com/1155,奈,"[""(지명에 쓰이는 한자)""]","[""ナ""]",[],"[""어찌 나""]",N1
https://nihongokanji.com/1156,傷,"[""상처"", ""상처내다"", ""다치다""]","[""ショウ""]","[""きず、いた(む)、いた(める)""]","[""다칠 상""]",N1
https://nihongokanji.com/1157,択,"[""선택하다"", ""고르다""]","[""タク""]",[],"[""가릴 택""]",N1
https://nihongokanji.com/1158,秀,"[""뛰어나다""]","[""シュウ""]","[""ひい(でる)""]","[""빼어날 수""]",N1
https://nihongokanji.com/1159,徴,"[""징집하다"", ""특징"", ""징표"", ""상징""]","[""チョウ""]",[],"[""부를 징""]",N1
https://nihongokanji.com/1160,弾,"[""탄알"", ""튕기다""]","[""ダン""]","[""ひ(く)、はず(む)、たま""]","[""탄알 탄""]",N1
https://nihongokanji.com/1161,償,"[""변상하다"", ""보상하다""]","[""ショウ""]","[""つぐな(う)""]","[""갚을 상""]",N1
https://nihongokanji.com/1162,功,"[""공적"", ""공로""]","[""コウ、ク""]",[],"[""공 공""]",N1
https://nihongokanji.com/1163,拠,"[""의지하다""]","[""キョ、コ""]",[],"[""의거할 거""]",N1
https://nihongokanji.com/1164,秘,"[""숨기다"", ""비밀""]","[""ヒ""]","[""ひ(める)""]","[""숨길 비""]",N1
https://nihongokanji.com/1165,拒,"[""거절하다"", ""거부하다""]","[""キョ""]","[""こば(む)""]","[""막을 거""]",N1
https://nihongokanji.com/1166,刑,"[""형벌"", ""벌하다""]","[""ケイ""]",[],"[""형벌 형""]",N1
https://nihongokanji.com/1167,塚,"[""무덤"", ""흙무더기""]",[],[],"[""무덤 총""]",N1
https://nihongokanji.com/1168,致,"[""초래하다"", ""이르다"", ""보내다""]","[""チ""]","[""いた(す)""]","[""이를 치""]",N1
https://nihongokanji.com/1169,繰,"[""(실/밧줄 등을) 감다"", ""(하나씩) 헤아리다/세다""]",[],"[""く(る)""]","[""고치 켤 조""]",N1
https://nihongokanji.com/1170,尾,"[""꼬리""]","[""ビ""]","[""お""]","[""꼬리 미""]",N1
https://nihongokanji.com/1171,描,"[""그리다""]","[""ビョウ""]","[""えが(く)、か(く)""]","[""그릴 묘""]",N1
https://nihongokanji.com/1172,鈴,"[""방울""]","[""レイ、リン""]","[""すず""]","[""방울 령""]",N1
https://nihongokanji.com/1173,盤,"[""쟁반"", ""평평한 판""]","[""バン""]",[],"[""소반 반""]",N1
https://nihongokanji.com/1174,項,"[""항목"", ""조항""]","[""コウ""]",[],"[""항목 항""]",N1
https://nihongokanji.com/1175,喪,"[""잃다""]","[""ソウ""]","[""も""]","[""잃을 상""]",N1
https://nihongokanji.com/1176,伴,"[""짝"", ""동반자"", ""반려""]",[],"[""ともな(う)""]","[""짝 반""]",N1
https://nihongokanji.com/1177,養,"[""사육하다"", ""기르다""]","[""ヨウ""]","[""やしな(う)""]","[""기를 양""]",N1
https://nihongokanji.com/1178,懸,"[""매달다""]","[""ケン、ケ""]","[""か(ける)、か(かる)""]","[""달 현""]",N1
https://nihongokanji.com/1179,街,"[""시가"", ""거리""]","[""ガイ、カイ""]","[""まち""]","[""거리 가""]",N1
https://nihongokanji.com/1180,契,"[""(약속/계약 등을) 맺다"", ""새기다""]","[""ケイ""]","[""ちぎ(る)""]","[""맺을 계""]",N1
https://nihongokanji.com/1181,掲,"[""높이 들다"", ""걸다""]","[""ケイ""]","[""かか(げる)""]","[""높이 들 게""]",N1
https://nihongokanji.com/1182,躍,"[""뛰어오르다""]","[""ヤク""]","[""おど(る)""]","[""뛸 약""]",N1
https://nihongokanji.com/1183,棄,"[""버리다""]",[],[],"[""버릴 기""]",N1
https://nihongokanji.com/1184,邸,"[""집"", ""저택""]","[""テイ""]",[],"[""집 저""]",N1
https://nihongokanji.com/1185,籍,"[""문서"", ""호적""]","[""セキ""]",[],"[""문서 적""]",N1
