Word,Furigana,Meaning,Level
系統,けいとう,계통,N1
体系,たいけい,체계,N1
新郎,しんろう,신랑,N1
郎君,ろうくん,낭군,N1
盟約,めいやく,맹약,N1
同盟,どうめい,동맹,N1
従順,じゅうじゅん,종순(순종),N1
服従,ふくじゅう,복종,N1
主従,しゅじゅう,주종,N1
従容,しょうよう,침착함,N1
従三位,じゅさんみ,종삼품(위계의 일종),N1
部隊,ぶたい,부대,N1
軍隊,ぐんたい,군대,N1
隊員,たいいん,대원,N1
紡織,ぼうしょく,방직,N1
織女,しょくじょ,직녀,N1
組織,そしき,조직,N1
振動,しんどう,진동,N1
振幅,しんぷく,진폭,N1
振子,しんし,진자,N1
振興,しんこう,진흥,N1
弁護,べんご,변호,N1
弁償,べんしょう,변상,N1
弁論,べんろん,변론,N1
雄弁,ゆうべん,웅변,N1
就職,しゅうしょく,취직,N1
就任,しゅうにん,취임,N1
就学,しゅうがく,취학,N1
去就,きょしゅう,거취,N1
成就,じょうじゅ,성취,N1
貢献,こうけん,공헌,N1
文献,ぶんけん,문헌,N1
献身,けんしん,헌신,N1
献立,こんだて,식단/메뉴,N1
厳格,げんかく,엄격,N1
厳重,げんじゅう,엄중,N1
威厳,いげん,위엄,N1
荘厳,そうごん,장엄,N1
維持,いじ,유지,N1
繊維,せんい,섬유,N1
海浜,かいひん,해변,N1
浜辺,はまべ,해변,N1
横浜,よこはま,요코하마,N1
遺産,いさん,유산,N1
遺棄,いき,유기,N1
遺失,いしつ,유실,N1
遺書,いしょ,유서,N1
遺言,ゆいごん,유언,N1
一塁,いちるい,1루,N1
盗塁,とうるい,도루,N1
本塁打,ほんるいだ,본루타(홈런),N1
邦楽,ほうがく,방악(그 나라 고유의 음악),N1
連邦,れんぽう,연방,N1
本邦,ほんぽう,본방(자국),N1
元素,げんそ,원소,N1
素朴,そぼく,소박,N1
素材,そざい,소재,N1
素足,すあし,맨발,N1
素手,すで,맨손/맨주먹,N1
素顔,すがお,화장하지 않은 얼굴/민낯,N1
派遣,はけん,파견,N1
小遣,こづかい,용돈,N1
言葉遣い,ことばづかい,말씨/말투,N1
対抗,たいこう,대항,N1
抵抗,ていこう,저항,N1
抗争,こうそう,항쟁,N1
模範,もはん,모범,N1
模擬,もぎ,모의,N1
模型,もけい,모형,N1
模倣,もほう,모방,N1
規模,きぼ,규모,N1
雄大,ゆうだい,웅대,N1
英雄,えいゆう,영웅,N1
雌雄,しゆう,자웅,N1
雄鹿,おじか,수사슴,N1
雄,おす,수컷,N1
利益,りえき,이익,N1
有益,ゆうえき,유익,N1
国益,こくえき,국익,N1
利益,りやく,신불이 인간에게 내리는 은혜,N1
緊張,きんちょう,긴장,N1
緊迫,きんぱく,긴박,N1
緊急,きんきゅう,긴급,N1
緊密,きんみつ,긴밀,N1
宣言,せんげん,선언,N1
宣伝,せんでん,선전,N1
宣誓,せんせい,선서,N1
宣告,せんこく,선고,N1
昭和,しょうわ,쇼와(서기 1926~1989까지의 일본 연호),N1
昭和天皇,しょうわてんのう,쇼와 천황,N1
廃止,はいし,폐지,N1
荒廃,こうはい,황폐,N1
廃棄,はいき,폐기,N1
長江,ちょうこう,장강,N1
江湖,こうこ,강호(세상),N1
江戸時代,えどじだい,에도 시대(서기 1603~1867),N1
同僚,どうりょう,동료,N1
官僚,かんりょう,관료,N1
閣僚,かくりょう,각료,N1
吉日,きちじつ,길일,N1
大吉,だいきち,대길,N1
吉夢,きちむ,길몽,N1
不吉,ふきつ,불길,N1
盛大,せいだい,성대,N1
旺盛,おうせい,왕성,N1
全盛期,ぜんせいき,전성기,N1
繁盛,はんじょう,번성,N1
皇帝,こうてい,황제,N1
皇后,こうごう,황후,N1
皇位,こうい,황위,N1
皇子,おうじ,황자,N1
皇女,おうじょ,황녀,N1
天皇,てんのう,천황,N1
君臨,くんりん,군림,N1
降臨,こうりん,강림,N1
臨終,りんじゅう,임종,N1
臨時,りんじ,임시,N1
踏破,とうは,답파,N1
未踏,みとう,미답,N1
踏査,とうさ,답사,N1
破壊,はかい,파괴,N1
壊滅,かいめつ,괴멸,N1
崩壊,ほうかい,붕괴,N1
債務,さいむ,채무,N1
負債,ふさい,부채,N1
興奮,こうふん,흥분,N1
振興,しんこう,진흥,N1
新興,しんこう,신흥,N1
興味,きょうみ,흥미,N1
余興,よきょう,여흥,N1
興趣,きょうしゅ,흥취,N1
源泉,げんせん,원천,N1
水源,すいげん,수원,N1
資源,しげん,자원,N1
資金源,しきんげん,자금원,N1
儀式,ぎしき,의식,N1
儀礼,ぎれい,의례,N1
創造,そうぞう,창조,N1
創立,そうりつ,창립,N1
独創,どくそう,독창,N1
創作,そうさく,창작,N1
創始,そうし,창시,N1
創意,そうい,창의,N1
障害,しょうがい,장해/장애,N1
故障,こしょう,고장,N1
障壁,しょうへき,장벽,N1
支障,ししょう,지장,N1
継続,けいぞく,계속,N1
継承,けいしょう,계승,N1
後継者,こうけいしゃ,후계자,N1
筋肉,きんにく,근육,N1
鉄筋,てっきん,철근,N1
筋骨,きんこつ,근골,N1
大筋,おおすじ,(대략적인)줄거리/요점,N1
一筋,ひとすじ,한 줄기/외줄기,N1
闘志,とうし,투지,N1
闘争,とうそう,투쟁,N1
戦闘,せんとう,전투,N1
戦う,たたかう,승패나 우열을 가르는 것,N1
闘う,たたかう,곤란/불의 등에 맞서 싸우는 것,N1
埋葬,まいそう,매장,N1
葬儀,そうぎ,장의(장례식),N1
火葬,かそう,화장,N1
国葬,こくそう,국장,N1
避難,ひなん,피난,N1
逃避,とうひ,도피,N1
回避,かいひ,회피,N1
不可避,ふかひ,불가피,N1
逮捕,たいほ,체포,N1
