Kanji,Meanings,On Yomi,Kun Yomi,Pronunciations,Level
浜,"[""물가"", ""해변""]","[""ヒン""]","[""はま""]","[""물가 빈""]",N1
遺,"[""(사후에) 남기다"", ""잃어버리다""]","[""イ、ユイ""]",[],"[""남길 유""]",N1
塁,"[""성채"", ""베이스(야구)""]","[""ルイ""]",[],"[""보루 루""]",N1
邦,"[""국가"", ""나라""]","[""ホウ""]",[],"[""나라 방""]",N1
素,"[""꾸밈없는"", ""그대로의"", ""본래의"", ""원초적인""]","[""ソ、ス""]",[],"[""본디 소""]",N1
遣,"[""보내다"", ""파견하다""]","[""ケン""]","[""つか(う)、つか(わす)""]","[""보낼 견""]",N1
抗,"[""항거하다"", ""대항하다""]","[""コウ""]",[],"[""겨룰 항""]",N1
模,"[""모형"", ""본"", ""무늬""]","[""モ、ボ""]",[],"[""본뜰 모""]",N1
雄,"[""수컷"", ""남자다운"", ""굳센"", ""힘찬""]","[""ユウ""]","[""お、おす""]","[""수컷 웅""]",N1
益,"[""이익"", ""유익하다""]","[""エキ、ヤク""]",[],"[""더할 익""]",N1
緊,"[""긴박하다"", ""시급하다"", ""세게 조르다""]","[""キン""]",[],"[""긴할 긴""]",N1
宣,"[""널리 퍼지다"", ""선언하다"", ""퍼뜨리다""]","[""セン""]",[],"[""베풀 선""]",N1
昭,"[""밝다 (일본 연호에 쓰이는 글자)""]","[""ショウ""]",[],"[""밝을 소""]",N1
廃,"[""버리다"", ""폐기하다"", ""쇠퇴하다""]","[""ハイ""]","[""すた(れる)、すた(る)""]","[""폐할/버릴 폐""]",N1
江,"[""강""]",[],"[""え""]","[""강 강""]",N1
僚,"[""친구"", ""동료"", ""관료""]","[""リョウ""]",[],"[""동료 료""]",N1
吉,"[""길하다"", ""상서롭다"", ""운이 좋다""]","[""キチ、キツ""]",[],"[""길할 길""]",N1
盛,"[""번성하다"", ""가득 쌓다""]","[""セイ、ジョウ""]","[""も(る)、さか(る)、さか(ん)""]","[""성할 성""]",N1
皇,"[""황제""]","[""コウ、オウ""]",[],"[""임금 황""]",N1
臨,"[""내려다보다"", ""임하다"", ""임시""]","[""リン""]","[""のぞ(む)""]","[""임할 임""]",N1
踏,"[""밟다"", ""짓밟다""]","[""トウ""]","[""ふ(む)、ふ(まえる)""]","[""밟을 답""]",N1
壊,"[""부서지다"", ""파괴되다"", ""무너지다""]","[""カイ""]","[""こわ(す)、こわ(れる)""]","[""무너질 괴""]",N1
債,"[""빚"", ""채무""]","[""サイ""]",[],"[""빚 채""]",N1
興,"[""흥하다"", ""부흥하다"", ""흥미"", ""흥겨움""]","[""コウ、キョウ""]","[""おこ(る)、おこ(す)""]","[""일 흥""]",N1
源,"[""원천"", ""원류""]","[""ゲン""]","[""みなもと""]","[""근원 원""]",N1
儀,"[""법도"", ""예법"", ""예식"", ""모형""]","[""ギ""]",[],"[""거동 의""]",N1
創,"[""창조하다"", ""만들다""]","[""ソウ""]","[""つく(る)""]","[""비롯할 창""]",N1
障,"[""막다"", ""방해하다"", ""거치적거리다""]","[""ショウ""]","[""さわ(る)""]","[""막을 장""]",N1
継,"[""이어가다"", ""계속하다""]","[""ケイ""]","[""つ(ぐ)""]","[""이을 계""]",N1
筋,"[""근육"", ""힘줄""]","[""キン""]","[""すじ""]","[""힘줄 근""]",N1
闘,"[""싸우다"", ""겨루다""]","[""トウ""]","[""たたか(う)""]","[""싸울 투""]",N1
葬,"[""장례치르다""]","[""ソウ""]","[""ほうむ(る)""]","[""장사지낼 장""]",N1
避,"[""피하다""]","[""ヒ""]","[""さ(ける)""]","[""피할 피""]",N1
逮,"[""붙잡다"", ""체포하다""]","[""タイ""]",[],"[""잡을 체""]",N1
迫,"[""다가오다"", ""핍박하다""]","[""ハク""]","[""せま(る)""]","[""핍박할 박""]",N1
惑,"[""갈팡질팡하다"", ""미혹되다"", ""현혹되다""]","[""ワク""]","[""まど(う)""]","[""미혹할 혹""]",N1
崩,"[""무너지다"", ""붕괴""]","[""ホウ""]","[""くず(れる)、くず(す)""]","[""무너질 붕""]",N1
紀,"[""연대"", ""기록""]","[""キ""]",[],"[""벼리 기""]",N1
聴,"[""(귀담아)듣다""]","[""チョウ""]","[""き(く)""]","[""들을 청""]",N1
脱,"[""벗다"", ""벗어나다""]","[""ダツ""]","[""ぬ(ぐ)、ぬ(げる)""]","[""벗을 탈""]",N1
博,"[""넓다"", ""박식하다""]","[""ハク、バク""]",[],"[""넓을 박""]",N1
患,"[""근심"", ""괴로움""]","[""カン""]","[""わずら(う)""]","[""근심 환""]",N1
締,"[""약속을 맺다"", ""단단히 묶다""]","[""テイ""]","[""し(まる)、し(める)""]","[""맺을 체""]",N1
執,"[""꼭 붙잡다"", ""집행하다""]","[""シツ、シュウ""]","[""と(る)""]","[""잡을 집""]",N1
房,"[""방"", ""침실""]",[],"[""ふさ""]","[""방 방""]",N1
撤,"[""제거하다"", ""거두어들이다""]","[""テツ""]",[],"[""거둘 철""]",N1
削,"[""잘라내다"", ""삭제하다""]","[""サク""]","[""けず(る)""]","[""깎을 삭""]",N1
密,"[""비밀의"", ""빈틈없는"", ""빽빽한""]","[""ミツ""]",[],"[""빽빽할 밀""]",N1
措,"[""두다"", ""그대로 두다""]","[""ソ""]",[],"[""둘 조""]",N1
載,"[""싣다"", ""얹다""]","[""サイ""]","[""の(せる)、の(る)""]","[""실을 재""]",N1
陣,"[""진"", ""진치다""]","[""ジン""]",[],"[""진칠 진""]",N1
