Kanji,Meanings,On Yomi,Kun Yomi,Pronunciations,Level
煮,"[""끓이다"", ""삶다""]","[""シャ""]","[""に(る)、に(える)、に(やす)""]","[""삶을 자""]",N1
姫,"[""후궁"", ""아가씨"", ""공주""]",[],"[""ひめ""]","[""아가씨 희""]",N1
誓,"[""맹세하다"", ""서약하다""]","[""セイ""]","[""ちか(う)""]","[""맹세할 서""]",N1
把,"[""쥐다"", ""잡다""]","[""ハ""]",[],"[""잡을 파""]",N1
践,"[""짓밟다"", ""실천하다""]","[""セン""]",[],"[""밟을 천""]",N1
呈,"[""바치다"", ""드러내다""]","[""テイ""]",[],"[""드릴 정""]",N1
疎,"[""소원하다"", ""멀리하다""]","[""ソ""]","[""うと(い)、うと(む)""]","[""성길 소""]",N1
仰,"[""우러러보다""]","[""ギョウ、コウ""]","[""あお(ぐ)、おお(せ)""]","[""우러를 앙""]",N1
剛,"[""굳센""]","[""ゴウ""]",[],"[""굳셀 강""]",N1
疾,"[""질병"", ""빠르다""]","[""シツ""]",[],"[""병 질""]",N1
征,"[""정벌하다"", ""토벌하다""]","[""セイ""]",[],"[""칠 정""]",N1
砕,"[""부서지다"", ""부수다""]","[""サイ""]","[""くだ(く)、くだ(ける)""]","[""부술 쇄""]",N1
謡,"[""노래""]","[""ヨウ""]","[""うた(い)、うた(う)""]","[""노래 요""]",N1
嫁,"[""시집가다""]","[""カ""]","[""よめ、とつ(ぐ)""]","[""시집갈 가""]",N1
謙,"[""겸손하다""]","[""ケン""]",[],"[""겸손할 겸""]",N1
后,"[""왕비"", ""황후"", ""뒤""]","[""コウ""]",[],"[""뒤 후""]",N1
嘆,"[""한탄하다"", ""탄식하다""]","[""タン""]","[""なげ(く)、なげ(かわしい)""]","[""탄식할 탄""]",N1
菌,"[""균"", ""세균"", ""곰팡이 등""]","[""キン""]",[],"[""버섯 균""]",N1
鎌,"[""낫""]",[],"[""かま""]","[""낫 겸""]",N1
巣,"[""둥지"", ""보금자리"", ""소굴""]","[""ソウ""]",[],"[""새집 소""]",N1
頻,"[""자주"", ""빈번한""]","[""ヒン""]",[],"[""자주 빈""]",N1
琴,"[""거문고"", ""현악기""]","[""キン""]","[""こと""]","[""거문고 금""]",N1
班,"[""반"", ""조"", ""그룹"", ""나누다""]","[""ハン""]",[],"[""나눌 반""]",N1
棚,"[""선반""]",[],"[""たな""]","[""사다리 붕""]",N1
潔,"[""깨끗한"", ""순결한""]","[""ケツ""]","[""いさぎよ(い)""]","[""깨끗할 결""]",N1
酷,"[""가혹한"", ""심한""]","[""コク""]",[],"[""심할 혹""]",N1
宰,"[""주관하다"", ""재상""]","[""サイ""]",[],"[""재상 재""]",N1
廊,"[""회랑"", ""복도""]","[""ロウ""]",[],"[""사랑채/행랑 랑""]",N1
寂,"[""적막한"", ""쓸쓸한"", ""고요한""]","[""ジャク、セキ""]","[""さび、さび(しい)、さび(れる)""]","[""고요할 적""]",N1
伏,"[""엎드리다"", ""복종하다""]","[""フク""]","[""ふ(せる)、ふ(す)""]","[""엎드릴 복/안을 부""]",N1
碁,"[""바둑""]","[""ゴ""]",[],"[""바둑 기""]",N1
俗,"[""풍속"", ""세속"", ""평범한""]","[""ゾク""]",[],"[""풍속 속""]",N1
漠,"[""사막"", ""끝이 없는"", ""막연한""]","[""バク""]",[],"[""넓을 막""]",N1
邪,"[""간사한"", ""사악한""]","[""ジャ""]",[],"[""간사할 사""]",N1
晶,"[""수정""]","[""ショウ""]",[],"[""맑을 정""]",N1
墨,"[""먹""]","[""ボク""]","[""すみ""]","[""먹 묵""]",N1
鎮,"[""진압하다"", ""진정시키다""]","[""チン""]","[""しず(める)、しず(まる)""]","[""진압할 진""]",N1
洞,"[""동굴"", ""구멍"", ""꿰뚫어 보다""]","[""ドウ""]","[""ほら""]","[""골 동/밝을 통""]",N1
履,"[""발로 밟다"", ""행하다""]","[""リ""]","[""は(く)""]","[""밟을 리""]",N1
劣,"[""못하다"", ""열등하다""]","[""レツ""]","[""おと(る)""]","[""못할 렬""]",N1
那,"[""어째서"", ""찰나의""]","[""ナ""]",[],"[""어찌 나""]",N1
殴,"[""때리다"", ""두드리다""]","[""オウ""]","[""なぐ(る)""]","[""때릴 구""]",N1
娠,"[""잉태하다"", ""임신하다""]","[""シン""]",[],"[""아이 밸 신""]",N1
奉,"[""받들다"", ""섬기다""]","[""ホウ、ブ""]","[""たてまつ(る)""]","[""받들 봉""]",N1
憂,"[""걱정"", ""근심""]","[""ユウ""]","[""うれ(える)、うれ(い)、う(い)""]","[""근심 우""]",N1
朴,"[""꾸밈없는"", ""순박한""]","[""ボク""]",[],"[""순박할 박""]",N1
亭,"[""정자"", ""건물""]","[""テイ""]",[],"[""정자 정""]",N1
怪,"[""괴상한"", ""이상한"", ""진기한""]","[""カイ""]","[""あや(しい)、あや(しむ)""]","[""괴이할 괴""]",N1
酔,"[""(술에) 취하다"", ""심취하다""]","[""スイ""]","[""よ(う)""]","[""취할 취""]",N1
惜,"[""아쉬워하다"", ""아깝다""]","[""セキ""]","[""お(しい)、お(しむ)""]","[""아낄 석""]",N1
穫,"[""수확하다""]","[""カク""]",[],"[""거둘 확""]",N1
佳,"[""아름답다""]","[""カ""]",[],"[""아름다울 가""]",N1
潤,"[""물기가 있는"", ""윤기있는""]","[""ジュン""]","[""うるお(う)、うるお(す)、うる(む)""]","[""불을 윤""]",N1
悼,"[""애도하다""]","[""トウ""]","[""いた(む)""]","[""슬퍼할 도""]",N1
乏,"[""부족하다"", ""가난하다""]",[],"[""とぼ(しい)""]","[""모자랄 핍""]",N1
該,"[""해박하다"", ""일치하다""]","[""ガイ""]",[],"[""갖출/마땅 해""]",N1
赴,"[""향해 가다"", ""달려가다""]","[""フ""]","[""おもむ(く)""]","[""다다를/갈 부""]",N1
桑,"[""뽕나무""]","[""ソウ""]","[""くわ""]","[""뽕나무 상""]",N1
髄,"[""골수""]","[""ズイ""]",[],"[""골수 수""]",N1
虎,"[""호랑이""]","[""コ""]","[""とら""]","[""범 호""]",N1
盆,"[""동이"", ""쟁반""]","[""ボン""]",[],"[""동이 분""]",N1
穂,"[""이삭""]","[""スイ""]","[""ほ""]","[""이삭 수""]",N1
壮,"[""장하다"", ""사내답다"", ""굳세다""]","[""ソウ""]",[],"[""씩씩할 장""]",N1
堤,"[""제방"", ""둑""]","[""テイ""]","[""つつみ""]","[""둑 제""]",N1
飢,"[""굶주리다""]","[""キ""]","[""う(える)""]","[""주릴 기""]",N1
傍,"[""곁"", ""옆""]","[""ボウ""]","[""かたわ(ら)""]","[""곁 방""]",N1
疫,"[""역병"", ""전염병""]","[""エキ、ヤク""]",[],"[""전염병 역""]",N1
累,"[""쌓이다"", ""겹치다"", ""묶이다""]","[""ルイ""]",[],"[""묶을/여러 루""]",N1
痴,"[""어리석다""]","[""チ""]",[],"[""어리석을 치""]",N1
搬,"[""옮기다"", ""나르다""]","[""ハン""]",[],"[""옮길 반""]",N1
癒,"[""치유하다""]","[""ユ""]","[""い(える)、い(やす)""]","[""병 나을 유""]",N1
寸,"[""촌(길이의 단위)"", ""극히 조금""]","[""スン""]",[],"[""마디 촌""]",N1
郭,"[""외곽"", ""둘레"", ""성곽""]","[""カク""]",[],"[""둘레/외성 곽""]",N1
尿,"[""소변"", ""오줌""]","[""ニョウ""]",[],"[""오줌 뇨""]",N1
凶,"[""간악한"", ""흉한"", ""불길한""]","[""キョウ""]",[],"[""흉할 흉""]",N1
吐,"[""토하다""]","[""ト""]","[""は(く)""]","[""토할 토""]",N1
宴,"[""잔치"", ""연회""]","[""エン""]",[],"[""잔치 연""]",N1
賓,"[""귀한 손님""]","[""ヒン""]",[],"[""손 빈""]",N1
虜,"[""포로""]","[""リョ""]",[],"[""사로잡을 로""]",N1
陶,"[""질그릇"", ""빚어 만들다"", ""황홀함""]","[""トウ""]",[],"[""질그릇 도""]",N1
鐘,"[""종""]","[""ショウ""]","[""かね""]","[""쇠북 종""]",N1
憾,"[""섭섭하다"", ""유감""]","[""カン""]",[],"[""섭섭할 감""]",N1
磁,"[""자석""]","[""ジ""]",[],"[""자석 자""]",N1
弥,"[""퍼지다"", ""두루 미치다"", ""깁다""]","[""ビ、ミ""]","[""や""]","[""두루 미""]",N1
昆,"[""후손"", ""곤충""]","[""コン""]",[],"[""맏/벌레 곤""]",N1
粗,"[""거친"", ""조잡한""]","[""ソ""]","[""あら(い)""]","[""거칠 조""]",N1
訂,"[""수정하다"", ""고치다"", ""바로잡다""]","[""テイ""]",[],"[""바로잡을 정""]",N1
芽,"[""싹"", ""새싹""]","[""ガ""]","[""め""]","[""싹 아""]",N1
傘,"[""우산""]","[""サン""]","[""かさ""]","[""우산 산""]",N1
騎,"[""말을 타다""]","[""キ""]",[],"[""말 탈 기""]",N1
寧,"[""편안한"", ""안정된"", ""정중한""]","[""ネイ""]",[],"[""편안할 녕""]",N1
循,"[""순환하다"", ""따라서 돌다""]","[""ジュン""]",[],"[""돌 순""]",N1
忍,"[""참다"", ""견디다""]","[""ニン""]","[""しの(ぶ)、しの(ばせる)""]","[""참을 인""]",N1
怠,"[""게으르다""]","[""タイ""]","[""おこた(る)、なま(ける)""]","[""게으를 태""]",N1
如,"[""그대로"", ""같은""]","[""ジョ、ニョ""]",[],"[""같을 여""]",N1
寮,"[""기숙사""]","[""リョウ""]",[],"[""동관 료""]",N1
鉛,"[""납""]","[""エン""]","[""なまり""]","[""납 연""]",N1
珠,"[""구슬"", ""진주""]","[""シュ""]",[],"[""구슬 주""]",N1
凝,"[""엉기다""]","[""ギョウ""]","[""こ(る)、こ(らす)""]","[""엉길 응""]",N1
苗,"[""모종"", ""곡식""]","[""ビョウ""]","[""なえ、なわ""]","[""모 묘""]",N1
獣,"[""짐승""]","[""ジュウ""]","[""けもの""]","[""짐승 수""]",N1
哀,"[""슬프다"", ""가엾다""]","[""アイ""]","[""あわ(れ)、あわ(れむ)""]","[""슬플 애""]",N1
跳,"[""뛰어오르다"", ""도약하다""]","[""チョウ""]","[""は(ねる)、と(ぶ)""]","[""뛸 도""]",N1
匠,"[""장인"", ""기술자"", ""목공""]","[""ショウ""]",[],"[""장인 장""]",N1
垂,"[""드리우다"", ""매달리다""]","[""スイ""]","[""た(れる)、た(らす)""]","[""드리울 수""]",N1
蛇,"[""뱀""]","[""ジャ、ダ""]","[""へび""]","[""긴 뱀 사""]",N1
澄,"[""맑다""]","[""チョウ""]","[""す(む)、す(ます)""]","[""맑을 징""]",N1
縫,"[""꿰매다""]","[""ホウ""]","[""ぬ(う)""]","[""꿰맬 봉""]",N1
僧,"[""승려""]","[""ソウ""]",[],"[""중 승""]",N1
幾,"[""몇"", ""얼마""]","[""キ""]","[""いく""]","[""몇 기""]",N1
眺,"[""바라보다"", ""조망하다""]","[""チョウ""]","[""なが(める)""]","[""바라볼 조""]",N1
唐,"[""당나라"", ""당황하다""]","[""トウ""]","[""から""]","[""당나라/당황할 당""]",N1
呉,"[""오나라""]","[""ゴ""]",[],"[""성씨 오""]",N1
凡,"[""평범한""]","[""ボン、ハン""]",[],"[""무릇 범""]",N1
憩,"[""쉬다""]","[""ケイ""]","[""いこ(い)、いこ(う)""]","[""쉴 게""]",N1
媛,"[""우아한 여자"", ""미녀""]","[""エン""]",[],"[""여자 원""]",N1
溝,"[""도랑"", ""해자""]","[""コウ""]","[""みぞ""]","[""도랑 구""]",N1
恭,"[""공경하다"", ""공손하다""]","[""キョウ""]","[""うやうや(しい)""]","[""공손할 공""]",N1
刈,"[""베다""]",[],"[""か(る)""]","[""벨 예""]",N1
睡,"[""졸다"", ""자다""]","[""スイ""]",[],"[""졸음 수""]",N1
錯,"[""착각하다"", ""뒤섞이다""]","[""サク""]",[],"[""어긋날 착""]",N1
伯,"[""맏"", ""큰형""]","[""ハク""]",[],"[""맏 백""]",N1
穀,"[""곡물"", ""곡식""]","[""コク""]",[],"[""곡식 곡""]",N1
陵,"[""구릉"", ""능(임금의 무덤)""]","[""リョウ""]","[""みささぎ""]","[""언덕 릉""]",N1
霧,"[""안개""]","[""ム""]","[""きり""]","[""안개 무""]",N1
魂,"[""혼백"", ""영혼"", ""정신""]","[""コン""]","[""たましい""]","[""넋 혼""]",N1
弊,"[""폐해"", ""폐단"", ""피로"", ""피폐""]","[""ヘイ""]",[],"[""폐단/해질 폐""]",N1
妃,"[""왕비""]","[""ヒ""]",[],"[""왕비 비""]",N1
舶,"[""선박"", ""배""]","[""ハク""]",[],"[""배 박""]",N1
餓,"[""굶주리다""]","[""ガ""]",[],"[""주릴 아""]",N1
窮,"[""한계에 이르다"", ""궁핍하다""]","[""キュウ""]","[""きわ(める)、きわ(まる)""]","[""다할/궁할 궁""]",N1
掌,"[""손바닥""]","[""ショウ""]",[],"[""손바닥 장""]",N1
麗,"[""곱다"", ""아름답다""]","[""レイ""]","[""うるわ(しい)""]","[""고울 려""]",N1
臭,"[""악취"", ""(나쁜) 냄새""]","[""シュウ""]","[""くさ(い)、にお(う)""]","[""냄새 취""]",N1
悦,"[""기쁘다""]","[""エツ""]",[],"[""기쁠 열""]",N1
刃,"[""칼날""]","[""ジン""]","[""は""]","[""칼날 인""]",N1
縛,"[""묶다"", ""포박하다""]","[""バク""]","[""しば(る)""]","[""얽을 박""]",N1
暦,"[""달력""]","[""レキ""]","[""こよみ""]","[""책력 력""]",N1
宜,"[""마땅하다"", ""적절하다""]","[""ギ""]",[],"[""마땅 의""]",N1
盲,"[""눈이 멀다"", ""맹인""]","[""モウ""]",[],"[""맹인 맹""]",N1
粋,"[""순수한"", ""세련된""]","[""スイ""]","[""いき""]","[""순수할 수""]",N1
辱,"[""욕보이다"", ""더럽히다""]","[""ジョク""]","[""はずかし(める)""]","[""욕될 욕""]",N1
轄,"[""관할하다"", ""관리하다""]","[""カツ""]",[],"[""다스릴 할""]",N1
猿,"[""원숭이""]","[""エン""]","[""さる""]","[""원숭이 원""]",N1
弦,"[""활시위""]","[""ゲン""]","[""つる""]","[""활시위 현""]",N1
窒,"[""막히다"", ""막다""]","[""チツ""]",[],"[""막힐 질""]",N1
炊,"[""밥을 짓다""]","[""スイ""]","[""た(く)""]","[""불 땔 취""]",N1
洪,"[""홍수""]","[""コウ""]",[],"[""넓을 홍""]",N1
摂,"[""다스리다"", ""집행하다""]","[""セツ""]",[],"[""다스릴 섭""]",N1
飽,"[""배부르다"", ""질리다""]","[""ホウ""]","[""あ(きる)、あ(かす)""]","[""배부를 포""]",N1
冗,"[""쓸데없는"", ""번거로운""]","[""ジョウ""]",[],"[""쓸데없을 용""]",N1
桃,"[""복숭아""]","[""トウ""]","[""もも""]","[""복숭아 도""]",N1
狩,"[""사냥""]","[""シュ""]","[""か(る)、か(り)""]","[""사냥할 수""]",N1
朱,"[""주홍색""]","[""シュ""]",[],"[""붉을 주""]",N1
渦,"[""소용돌이""]","[""カ""]","[""うず""]","[""소용돌이 와""]",N1
紳,"[""띠"", ""신사""]","[""シン""]",[],"[""띠 신""]",N1
枢,"[""중추"", ""가장 중요한 부분""]","[""スウ""]",[],"[""지도리 추""]",N1
碑,"[""비석""]","[""ヒ""]",[],"[""비석 비""]",N1
鍛,"[""단련하다"", ""(쇠를)불리다""]","[""タン""]","[""きた(える)""]","[""쇠 불릴 단""]",N1
刀,"[""칼""]","[""トウ""]","[""かたな""]","[""칼 도""]",N1
鼓,"[""북""]","[""コ""]","[""つづみ""]","[""북 고""]",N1
裸,"[""알몸"", ""벌거벗다""]","[""ラ""]","[""はだか""]","[""벗을 라""]",N1
猶,"[""망설이다"", ""주저하다""]","[""ユウ""]",[],"[""오히려 유""]",N1
塊,"[""덩어리""]","[""カイ""]","[""かたまり""]","[""덩어리 괴""]",N1
旋,"[""빙빙 돌다"", ""회전하다""]","[""セン""]",[],"[""돌 선""]",N1
弓,"[""활""]","[""キュウ""]","[""ゆみ""]","[""활 궁""]",N1
幣,"[""화폐""]","[""ヘイ""]",[],"[""화폐 폐""]",N1
膜,"[""얇은 막"", ""점막""]","[""マク""]",[],"[""막 막""]",N1
扇,"[""부채""]","[""セン""]","[""おうぎ""]","[""부채 선""]",N1
腸,"[""창자""]","[""チョウ""]",[],"[""창자 장""]",N1
槽,"[""통"", ""구유""]","[""ソウ""]",[],"[""구유 조""]",N1
慈,"[""자애"", ""자비""]","[""ジ""]","[""いつく(しむ)""]","[""사랑 자""]",N1
伐,"[""치다"", ""정벌하다"", ""토벌하다""]","[""バツ""]",[],"[""칠 벌""]",N1
漬,"[""담그다"", ""담궈지다""]",[],"[""つ(ける)、つ(かる)""]","[""담글 지""]",N1
糾,"[""얽히다"", ""꼬이다""]","[""キュウ""]",[],"[""얽힐 규""]",N1
墳,"[""무덤""]","[""フン""]",[],"[""무덤 분""]",N1
坪,"[""평(토지"", ""면적의 단위)""]",[],"[""つぼ""]","[""들 평""]",N1
紺,"[""감색/암청색""]","[""コン""]",[],"[""감색 감""]",N1
慌,"[""당황하다"", ""허둥대다""]","[""コウ""]","[""あわ(てる)、あわ(ただしい)""]","[""어리둥절 황""]",N1
娯,"[""즐기다"", ""오락""]","[""ゴ""]",[],"[""즐거워할 오""]",N1
舌,"[""혀""]","[""ゼツ""]","[""した""]","[""혀 설""]",N1
羅,"[""그물"", ""나열하다""]","[""ラ""]",[],"[""벌일 라""]",N1
峡,"[""골짜기"", ""협곡""]","[""キョウ""]",[],"[""골짜기 협""]",N1
俸,"[""봉급"", ""급료""]","[""ホウ""]",[],"[""녹 봉""]",N1
厘,"[""매우 작은 수""]","[""リン""]",[],"[""다스릴 리""]",N1
峰,"[""산봉우리""]","[""ホウ""]","[""みね""]","[""봉우리 봉""]",N1
醸,"[""양조하다"", ""빚다""]","[""ジョウ""]","[""かも(す)""]","[""술 빚을 양""]",N1
弔,"[""조문하다"", ""위로하다""]","[""チョウ""]","[""とむら(う)""]","[""조상할 조""]",N1
乙,"[""을('갑을병'의 '을')""]","[""オツ""]",[],"[""새 을""]",N1
汁,"[""즙"", ""액체""]","[""ジュウ""]","[""しる""]","[""즙 즙""]",N1
尼,"[""비구니""]","[""ニ""]","[""あま""]","[""여승 니""]",N1
遍,"[""두루"", ""모든"", ""보편""]","[""ヘン""]",[],"[""두루 편""]",N1
衡,"[""저울"", ""균형""]","[""コウ""]",[],"[""저울대 형""]",N1
薫,"[""향기"", ""향을 내다""]","[""クン""]","[""かお(る)""]","[""향초 훈""]",N1
猟,"[""사냥하다""]","[""リョウ""]",[],"[""사냥 렵""]",N1
羊,"[""양""]","[""ヨウ""]","[""ひつじ""]","[""양 양""]",N1
款,"[""약관"", ""조항"", ""항목""]","[""カン""]",[],"[""항목 관""]",N1
閲,"[""열람하다"", ""검열하다""]","[""エツ""]",[],"[""볼 열""]",N1
偵,"[""염탐하다"", ""정찰하다""]","[""テイ""]",[],"[""염탐할 정""]",N1
喝,"[""꾸짖다"", ""으르다""]","[""カツ""]",[],"[""꾸짖을 갈""]",N1
敢,"[""감히"", ""구태여"", ""과감한""]","[""カン""]",[],"[""감히 감""]",N1
胎,"[""아이를 배다"", ""자궁""]","[""タイ""]",[],"[""아이 밸 태""]",N1
酵,"[""발효""]","[""コウ""]",[],"[""삭힐 효""]",N1
憤,"[""분개하다"", ""분노""]","[""フン""]","[""いきどお(る)""]","[""분할 분""]",N1
豚,"[""돼지""]","[""トン""]","[""ぶた""]","[""돼지 돈""]",N1
遮,"[""가로막다"", ""차단하다""]","[""シャ""]","[""さえぎ(る)""]","[""가릴 차""]",N1
扉,"[""문짝"", ""문""]","[""ヒ""]","[""とびら""]","[""사립문 비""]",N1
硫,"[""황(sulphur)""]","[""リュウ""]",[],"[""유황 류""]",N1
赦,"[""용서하다""]","[""シャ""]",[],"[""용서할 사""]",N1
窃,"[""훔치다"", ""절도""]","[""セツ""]",[],"[""훔칠 절""]",N1
泡,"[""거품""]","[""ホウ""]","[""あわ""]","[""거품 포""]",N1
又,"[""또"", ""다시"", ""재차""]",[],"[""また""]","[""또 우""]",N1
慨,"[""개탄하다"", ""슬퍼하다""]","[""ガイ""]",[],"[""슬퍼할 개""]",N1
紡,"[""실을 잣다""]","[""ボウ""]","[""つむ(ぐ)""]","[""길쌈 방""]",N1
恨,"[""원망하다"", ""한""]","[""コン""]","[""うら(む)、うら(めしい)""]","[""한 한""]",N1
肪,"[""기름"", ""지방""]","[""ボウ""]",[],"[""살찔 방""]",N1
扶,"[""돕다"", ""조력하다""]","[""フ""]",[],"[""도울 부""]",N1
戯,"[""놀다"", ""장난치다"", ""희롱하다""]","[""ギ""]","[""たわむ(れる)""]","[""놀 희""]",N1
忌,"[""꺼리다"", ""싫어하다""]","[""キ""]","[""い(む)、い(まわしい)""]","[""꺼릴 기""]",N1
濁,"[""탁하다"", ""흐리다""]","[""ダク""]","[""にご(る)、にご(す)""]","[""흐릴 탁""]",N1
奔,"[""빠르게 달리다""]","[""ホン""]",[],"[""달릴 분""]",N1
斗,"[""~말(술/곡물을 세는 단위)""]","[""ト""]",[],"[""말 두""]",N1
迅,"[""빠르다""]","[""ジン""]",[],"[""빠를 신""]",N1
肖,"[""닮다"", ""본뜨다""]","[""ショウ""]",[],"[""닮을/같을 초""]",N1
鉢,"[""바리때"", ""사발""]","[""ハチ、ハツ""]",[],"[""바리때 발""]",N1
朽,"[""썩다""]","[""キュウ""]","[""く(ちる)""]","[""썩을 후""]",N1
殻,"[""껍질""]","[""カク""]","[""から""]","[""껍질 각""]",N1
享,"[""누리다"", ""향유하다""]","[""キョウ""]",[],"[""누릴 향""]",N1
藩,"[""울타리"", ""영지""]","[""ハン""]",[],"[""울타리 번""]",N1
沙,"[""모래""]","[""サ""]",[],"[""모래 사""]",N1
媒,"[""중매하다""]","[""バイ""]",[],"[""중매 매""]",N1
鶏,"[""닭""]","[""ケイ""]","[""にわとり""]","[""닭 계""]",N1
禅,"[""선종(불교의 종파)""]","[""ゼン""]",[],"[""선 선""]",N1
嘱,"[""부탁하다""]","[""ショク""]",[],"[""부탁할 촉""]",N1
胴,"[""몸통""]","[""ドウ""]",[],"[""몸통 동""]",N1
迭,"[""번갈아서""]","[""テツ""]",[],"[""번갈아들 질""]",N1
挿,"[""꽂다"", ""끼우다""]","[""ソウ""]","[""さ(す)""]","[""꽂을 삽""]",N1
嵐,"[""폭풍우""]",[],"[""あらし""]","[""남기 람""]",N1
椎,"[""척추""]","[""ツイ""]",[],"[""등골 추""]",N1
絹,"[""비단""]","[""ケン""]","[""きぬ""]","[""비단 견""]",N1
陪,"[""따르다"", ""모시다""]","[""バイ""]",[],"[""모실 배""]",N1
剖,"[""쪼개다""]","[""ボウ""]",[],"[""쪼갤 부""]",N1
譜,"[""족보"", ""악보"", ""기보 등""]","[""フ""]",[],"[""족보 보""]",N1
悠,"[""멀다"", ""아득하다"", ""끝이 없다""]","[""ユウ""]",[],"[""멀 유""]",N1
淑,"[""얌전하다"", ""착하다""]","[""シュク""]",[],"[""맑을 숙""]",N1
帆,"[""돛""]","[""ハン""]","[""ほ""]","[""돛 범""]",N1
暁,"[""새벽녘""]",[],"[""あかつき""]","[""새벽 효""]",N1
傑,"[""뛰어난"", ""걸출한""]","[""ケツ""]",[],"[""뛰어날 걸""]",N1
笛,"[""피리""]","[""テキ""]","[""ふえ""]","[""피리 적""]",N1
奴,"[""종"", ""노예""]","[""ド""]",[],"[""종 노""]",N1
錠,"[""자물쇠"", ""~정(약 등을 세는 단위)""]","[""ジョウ""]",[],"[""덩이 정""]",N1
拳,"[""주먹""]","[""ケン""]","[""こぶし""]","[""주먹 권""]",N1
遷,"[""옮기다"", ""옮겨 가다""]","[""セン""]",[],"[""옮길 천""]",N1
拙,"[""서투른"", ""졸렬한""]","[""セツ""]","[""つたな(い)""]","[""옹졸할 졸""]",N1
侍,"[""모시다"", ""시중들다""]","[""ジ""]","[""さむらい""]","[""모실 시""]",N1
尺,"[""척(길이의 단위)"", ""길이"", ""척도""]","[""シャク""]",[],"[""자 척""]",N1
峠,"[""고개(일본에서 만들어진 한자)""]",[],"[""とうげ""]","[""고개 상""]",N1
篤,"[""진지한"", ""독실한"", ""착실한""]","[""トク""]",[],"[""도타울 독""]",N1
渇,"[""목마른"", ""간절한""]","[""カツ""]","[""かわ(く)""]","[""목마를 갈""]",N1
叔,"[""아저씨"", ""숙부""]","[""シュク""]",[],"[""아저씨 숙""]",N1
雌,"[""암컷"", ""약하다""]","[""シ""]","[""め、めす""]","[""암컷 자""]",N1
堪,"[""견디다"", ""참다""]","[""カン""]","[""た(える)""]","[""견딜 감""]",N1
叙,"[""서술하다"", ""차례""]","[""ジョ""]",[],"[""펼/차례 서""]",N1
酢,"[""식초"", ""초산""]","[""サク""]","[""す""]","[""신맛 초""]",N1
吟,"[""읊다"", ""음미하다""]","[""ギン""]",[],"[""읊을 음""]",N1
逓,"[""차례로"", ""번갈아서"", ""보내다""]","[""テイ""]",[],"[""갈마들 체""]",N1
甚,"[""심하다""]","[""ジン""]","[""はなは(だ)、はなは(だしい)""]","[""심할 심""]",N1
崇,"[""숭고한"", ""숭배하다""]","[""スウ""]",[],"[""높을 숭""]",N1
漆,"[""옻"", ""칠""]","[""シツ""]","[""うるし""]","[""옻 칠""]",N1
岬,"[""곶"", ""갑(지명한자)""]",[],"[""みさき""]","[""곶 갑""]",N1
癖,"[""버릇"", ""병""]","[""ヘキ""]","[""くせ""]","[""버릇 벽""]",N1
愉,"[""즐겁다"", ""기쁘다""]","[""ユ""]",[],"[""즐거울 유""]",N1
礁,"[""암초""]","[""ショウ""]",[],"[""암초 초""]",N1
屯,"[""진치다""]","[""トン""]",[],"[""진칠 둔""]",N1
姻,"[""혼인""]","[""イン""]",[],"[""혼인 인""]",N1
擬,"[""흉내내다"", ""본뜨다""]","[""ギ""]",[],"[""비길 의""]",N1
塀,"[""담"", ""담장""]","[""ヘイ""]",[],"[""담 병""]",N1
唇,"[""입술""]","[""シン""]","[""くちびる""]","[""입술 순""]",N1
睦,"[""화목하다""]","[""ボク""]",[],"[""화목할 목""]",N1
閑,"[""한가로운"", ""조용한""]","[""カン""]",[],"[""한가할 한""]",N1
幽,"[""그윽한"", ""은은한"", ""아득한"", ""저승""]","[""ユウ""]",[],"[""그윽할 유""]",N1
曹,"[""무리"", ""관청""]","[""ソウ""]",[],"[""무리 조""]",N1
詠,"[""노래하다"", ""읊조리다""]","[""エイ""]","[""よ(む)""]","[""읊을 영""]",N1
卑,"[""낮은"", ""비천한"", ""저열한""]","[""ヒ""]","[""いや(しい)、いや(しむ)、いや(しめる)""]","[""낮을 비""]",N1
侮,"[""업신여기다"", ""멸시하다""]",[],"[""あなど(る)""]","[""업신여길 모""]",N1
鋳,"[""주물하다"", ""주조하다""]","[""チュウ""]","[""い(る)""]","[""불릴 주""]",N1
抹,"[""지우다"", ""가루""]","[""マツ""]",[],"[""지울 말""]",N1
尉,"[""벼슬"", ""계급(군대의 '위관'을 지칭)""]","[""イ""]",[],"[""벼슬 위""]",N1
隷,"[""노예"", ""종"", ""예속""]","[""レイ""]",[],"[""종 예""]",N1
禍,"[""재앙"", ""화""]","[""カ""]",[],"[""재앙 화""]",N1
酪,"[""유제품""]","[""ラク""]",[],"[""소젖 락""]",N1
茎,"[""줄기""]","[""ケイ""]","[""くき""]","[""줄기 경""]",N1
帥,"[""장수"", ""우두머리""]","[""スイ""]",[],"[""장수 수""]",N1
逝,"[""멀리 떠나다"", ""죽다""]","[""セイ""]","[""ゆ(く)、い(く)""]","[""갈 서""]",N1
汽,"[""증기"", ""김""]","[""キ""]",[],"[""물 끓는 김 기""]",N1
匿,"[""숨기다"", ""감추다""]","[""トク""]",[],"[""숨길 닉""]",N1
襟,"[""옷깃"", ""목덜미"", ""마음속""]","[""キン""]","[""えり""]","[""옷깃 금""]",N1
蛍,"[""반딧불""]","[""ケイ""]","[""ほたる""]","[""반딧불 형""]",N1
